"id","ingredient"
48571,"jumbo shrimp"
48571,"sea scallops"
48571,"grate lime peel"
48571,"olive oil"
48571,"chopped onion"
48571,"chopped cilantro"
48571,"bottled clam juice"
48571,"white hominy"
48571,"sun-dried tomatoes in oil"
48571,"salsa verde"
48571,"garlic cloves"
25909,"minced garlic"
25909,"cumin"
25909,"tomato sauce"
25909,"long-grain rice"
25909,"chicken broth"
25909,"vegetable oil"
25909,"kosher salt"
25909,"chopped cilantro fresh"
45705,"shortening"
45705,"milk"
45705,"salt"
45705,"dried fruit"
45705,"cinnamon"
45705,"sugar"
45705,"flour"
45705,"lemon juice"
45705,"water"
45705,"butter"
47190,"dark soy sauce"
47190,"beef stock"
47190,"star anise"
47190,"basmati rice"
47190,"olive oil"
47190,"muscovado sugar"
47190,"chinese five-spice powder"
47190,"red chili peppers"
47190,"spring onions"
47190,"braising beef"
47190,"plain flour"
47190,"fresh ginger root"
47190,"dry sherry"
47190,"garlic cloves"
38176,"soy sauce"
38176,"peeled fresh ginger"
38176,"snow peas"
38176,"bell pepper"
38176,"garlic cloves"
38176,"lo mein noodles"
38176,"vegetable oil"
38176,"cremini mushrooms"
38176,"pork tenderloin"
38176,"toasted sesame oil"
17458,"mirin"
17458,"sake"
17458,"butter"
17458,"clams"
17458,"green onions"
17458,"soy sauce"
17458,"rice vinegar"
26526,"plain flour"
26526,"chili powder"
26526,"ground turmeric"
26526,"coriander seeds"
26526,"salt"
26526,"whitefish fillets"
26526,"vegetable oil"
26526,"fennel seeds"
26526,"garam masala"
26526,"garlic cloves"
48226,"whipping cream"
48226,"granulated sugar"
48226,"Cointreau Liqueur"
48226,"powdered sugar"
48226,"strawberries"
23348,"minced ginger"
23348,"garlic"
23348,"oil"
23348,"coriander powder"
23348,"chickpeas"
23348,"onions"
23348,"chopped tomatoes"
23348,"salt"
23348,"lemon juice"
23348,"fenugreek leaves"
23348,"chili powder"
23348,"cumin seed"
23348,"ground cumin"
12434,"whole wheat baguette"
12434,"cracked black pepper"
12434,"olive oil"
12434,"heirloom tomatoes"
12434,"cucumber"
12434,"fresh basil"
12434,"red wine vinegar"
12434,"purple onion"
12434,"basil leaves"
12434,"sea salt"
32265,"black pepper"
