"id","cuisine","set"
10259,"greek","train"
25693,"southern_us","train"
20130,"filipino","train"
22213,"indian","train"
13162,"indian","train"
6602,"jamaican","train"
42779,"spanish","train"
3735,"italian","train"
16903,"mexican","train"
12734,"italian","train"
5875,"italian","train"
45887,"chinese","train"
2698,"italian","train"
41995,"mexican","train"
31908,"italian","train"
24717,"indian","train"
34466,"british","train"
1420,"italian","train"
2941,"thai","train"
8152,"vietnamese","train"
13121,"thai","train"
40523,"mexican","train"
40989,"southern_us","train"
29630,"chinese","train"
49136,"italian","train"
26705,"chinese","train"
27976,"cajun_creole","train"
22087,"italian","train"
9197,"chinese","train"
1299,"mexican","train"
40429,"italian","train"
34419,"cajun_creole","train"
10276,"mexican","train"
33465,"thai","train"
39250,"italian","train"
37963,"cajun_creole","train"
20051,"italian","train"
11300,"filipino","train"
17610,"southern_us","train"
37405,"southern_us","train"
28302,"italian","train"
31634,"brazilian","train"
32304,"mexican","train"
36341,"indian","train"
29369,"mexican","train"
27564,"chinese","train"
18515,"french","train"
3335,"southern_us","train"
4499,"southern_us","train"
4906,"southern_us","train"
5767,"japanese","train"
30748,"southern_us","train"
35930,"italian","train"
44902,"southern_us","train"
31119,"italian","train"
3535,"jamaican","train"
47028,"japanese","train"
38112,"indian","train"
2646,"italian","train"
5206,"irish","train"
38233,"thai","train"
39267,"thai","train"
11913,"indian","train"
20591,"jamaican","train"
70,"italian","train"
43928,"thai","train"
8530,"korean","train"
275,"french","train"
43769,"french","train"
49111,"southern_us","train"
11886,"spanish","train"
45839,"indian","train"
699,"moroccan","train"
24568,"italian","train"
8820,"italian","train"
16582,"moroccan","train"
9058,"moroccan","train"
4715,"vietnamese","train"
29061,"japanese","train"
2107,"mexican","train"
22825,"cajun_creole","train"
13758,"southern_us","train"
6886,"french","train"
14874,"indian","train"
43399,"indian","train"
38254,"italian","train"
41596,"italian","train"
33989,"indian","train"
17004,"korean","train"
4969,"spanish","train"
31831,"italian","train"
46648,"southern_us","train"
36888,"southern_us","train"
34471,"greek","train"
25164,"mexican","train"
39600,"mexican","train"
46357,"southern_us","train"
46905,"indian","train"
8753,"italian","train"
37337,"italian","train"
17636,"italian","train"
8997,"japanese","train"
